Ý
[Acronyms.Lst Version 2.00 5/6/2005
[Compiled by p_elphick@cix.co.uk aka cotal@cotal.co.uk]
[This file is copyright and may not be re-distributed outside the CIX conferencing system without permission]
[topic info]
ameol
serious
fun
chatter
Ý

[common]
1VHB	One Very Happy Bunny
AMEOL	'A Most Excellent Off Line' reader
AMIGA	A Merely Insignificant Game Addiction
AMOW	All My Own Work
AMR	Audio Modem Riser
AMS	Acute Mountain Sickness
AMSPCEDA	AnkhMorpork Society for the Prevention of Cruelty to Extra-Discal Animals
ANC	Absolutely No Comment
AND	Architecture Neutral Distribution
ANFSCD	And Now For Something Completely Different
ANPR	Automatic Number Plate Recognition
ANPRS	Automatic Number Plate Recognition System
ANSI	American National Standards Institute
AOK	All OK
AOL	America On Line/Away On Leave/Me Too
AOLOSQ	Asker Of Lots Of Stupid Questions
AOM	Arthur Or Mather
AOS	Any Other Suggestions…
AOT	Any Other Time
APFSDS	Armour-Piercing Fin-Stabilised Discarding-Sabot
APFU	As Per F***ing Usual
API	Application Programming Interface
APIPA	Automatic Private IP Addressing
APITEWASS	A Poke In The Eye With A Sharp Stick
APOTS	All Part Of The Service 
APU	Auxiliary Power Unit/As Per Usual
AR	ARKANSAS
ARA	Amateur Rowing Association
ARE	Acronym-Rich Environment
ARRL	American Radio Relay League   *@arrl.org
ARTFMF	Always Read The F**king Manual First
ARV	Armed Response Vehicle/Vicar
AS	Alaska/American Samoa
AS	Auto Sport
ASA	Advertising Standards Authority/American Statistical Association/Another Stupid Acronym/Amateur Swimming Association
ASAIC	As Soon As I Can
ASAP	As Soon As Possible
ASAR	alt.sexual.abuse.recovery
ASBO	Anti-Social Behaviour Order
ASCII	American Standard Code for Information Interchange
ASIO	Australian Security and Intelligence Organisation
ASL	Age,sex,location?/Advanced Stop Line/Assistant Scout Leader
ASNA	A Sorely-Needed Acronym/Area Scout Network Administrator (Also ASNetA)
ASNC	Area Scout Network Commissioner (Also ASNetC)
ASNL	Area Scout Network Leader (Also ASNetL)
ASO	Address Supporting Organisation
ASOASF	And So On And So Forth
ASOSHTMGD	A Spoonful Of Sugar Helps The Medicine Go Down
ASP	Application Service Provider
ASPI	Advanced/Adaptec SCSI Programming Interface
ASSOL	Anti Synthetic Smell Organisation Limited
AST	Assured Shorthold Tenancy/Atlantic Standard Time
ASTMS	Association of Scientific, Technical and Managerial Staffs
ASVI	Ah, So Very Interesting
ATA	Ask The Audience/AT Attachment
ATAEGL	Are There Any E-Groats Left?
ATAPI	AT Attachment Packet Interface
ATASTTB	As The Actress Said To The Bishop
ATATVC	As Tough As The Vampire's Cooking
ATAVABBF	A Thought As Valuable As Belly Button Fluff
ATB	All The Best/Anti Terrorist Branch
ATBSTTA	As The Bishop Said To The Actress
ATCF	As The Crow Flies
ATCMB	As The Case May Be
ATEOTD	At The End Of The Day
ATEOTU	At The End Of The Universe
ATKOL	Administers The Kiss Of Life
ATL	Alternate TimeLine/ActiveX Template Library
ATM	At The Moment/Adobe Type Manager/Automated Teller Machine/Asynchronous Transfer Mode/Another Technical Miracle/Mistake
ATMA	Amateur Telescope Makers Association
ATMIT	At This Moment In Time
ATRAC	Adaptive TRansform Acoustic Coding (the digital audio compression system used on MDs)
ATROTT	All The Rest Of The Time
ATROTTOC	All The Rest Of The Time Of Course
ATT	All The Time
ATTOC	All The Time Of Course
ATVM	At This Very Moment
AU	Astronomical Unit
AUGUR	A Universal Generic User Repository
AUI	Attachment Unit Interface
AUP	Acceptable Usage Policy
AV	Anti Virus
AVGPTS	A Very Good Place To Start
AVHBI	A Very Happy Bunny Indeed!
AVSL	Assistant Venture Scout Leader
AWBA	Any Way But Always
AWGTHTGTTA	Are We Going To Have To Go Through This Again?
AWITNR	And When Is The Next Release?
AWL	Advanced Wizarding Level
AWLS	Advanced Wizarding LevelS
AWOL	Absent WithOut Leave
AWT	Abstract Window Toolkit
AYAMOTC	And You A Man Of The Cloth
AYK	As You Know
AYS	Are You Sure
AYYB	Ac Yn Y Blaen (lit. and in the front)
AZ	ARIZONA
B2B	Business To Business/Back To Back
B4N	Bye For Now
BA	Bachelor of Arts/British Academy/Brilliantly Acronymmed
BAA	British Airports Authority
BAALT	Been Around A Long Time
BAC	By Any Chance
BACS	Bankers' Automated Clearing System
BAK	Back At Keys
BAO	Both At Once 
BASC	British Association of Shooting and Conservation
BASIC	Beginner's All-purpose Symbolic Instruction Code/Bill's Attempt To Seize Industry Control
BATST	Both At The Same Time
BB	Bum Bandit/Big Bang theory 
BBATST	But Both At The Same Time
BBC	British Broadcasting Corporation
BBDC	Big Boys Don't Cry
BBFC	British Board of Film Classification
BBFN	Bye Bye For Now
BBIAB	Be Back In A Bit
BBL	Be Back Later
BBS	Bulletin Board System
BBT	Big Bang Theory
BC	Before Christ/Boozy Clergy/Barmy Castille
BCAPF	Barnard Castle Association for the Prosecution of Felons
BCC	Blind Carbon Copy
BCE	Before Common Era
BCFH	Bastard Client From Hell
BCNU	Be Seeing You
BCP	Book of Common Prayer
BCS	British Computer Society
BCU	British Canoeing Union
BDC	Backup Domain Controller
BDDIA	But Don't Do It Again
BDSM	Bondage Domination Sado Masochism
BE	British Empire/Brilliantly Expanded
BEG	Big Evil Grin/Bonus E-Groat/Billion E-Groats
BEM	Bug-Eyed Monster/British Empire Medal
BFAI	Brute Force And Ignorance
BFD	Big F***ing Deal
BFI	Brute Force and Ignorance/British Film Institute
BFN	Bye For Now
BFO	Big F**k Off
BFW	Big F***ing Whoopee
BG	Big Grin
BGA	British Go Association (FTTT discussed in cix:go_players)
BGB	Bloody Good Bloke
BGI	Bloody Good Idea
BGL	Bloody Good Lad
BGP	Border Gateway Protocol
BGWM	Be Gentle With Me
BH	Business Highway/Bloody Hell/Black Horse
BHD	Bad Hair Day
BHLCS	Bless His/Her Little Cotton Socks
BHO	Browser Host Object
BHOW	Bangs Head On Wall
BHSS	Because He Said So
BHWAY	Bwrw Hen Wragedd Ac Ysgubellau = (lit.) raining old women and besoms
BIBLE	Basic Instructions Before Leaving Earth
BIBTB	Before I Break The Bank
BICBW	But I Could Be Wrong
BIF	Behave In Future
BIIK	Buggered If I Know
BIK	Benefit In Kind
BIL	Brother In Law
BIN	Buy It Now
BION	Believe It Or Not
BIOS	Basic Input Output System
BIOYIOP	Blow It Out Your Input Output Port
BISS	Because I Said So
BITPA?	Been In The Pub Again?
BIWDIA	But I Won't Do It Again 
BIWL	But I Wasn't Listening
BIWSTWI	But I Would Say That Wouldn't I
BIX	Byte Information eXchange
BJ	Big Jobs
BK	Because
BL	Belly Laughing/British Library/Blessed Loei
BLA	Been Led Astray
BLTN	Better Late Than Never
BM	Bloody Marvellous
BMC	British Mountaineering Council
BMD	Births, Marriages and Deaths
BMFA	British Model Flying Association
BMI	Body Mass Index
BMP	BitMaP file
BMS	Bright Mild Steel/Bless My Soul
BMSN	Bloody MicroSoft Network messenger
BMT	Before My Time
BMW	Bavarian Motor Works
BMWM	Big Mean Windows Machine
BNBATST	But Not Both At The Same Time
BNC	Bayone-Neill-Concelman (connector)
BNIM	But Not In Mine
BNF	Backus Naur Form
BNP	British National Party
BO	Best Offer/Body Odour
BOAT	Bordering On A Tart/Byway Open to All Traffic
BOBTG	Bog Off Back To Greenland
BOD	Bonding On Demand
BOFH	Bastard Operator From Hell
BOGOF	Buy One Get One Free
BOK	Breakfast On Keyboard/Beyond Our Ken/Bollocks On Keyboard
BOL	Book Of Lies
BONSH	But Oh No She Hasn't 
BOOOGL	By Order Of Our Great Leader
BOOOGL	By Order Of Our Great Leader
BOR	Bringer Of Rain
BOTEC	Back Of The Envelope Calculation
BOWTH	But Oh What The Heck
BOYD	Bring Out Your Dead
BP	Blood Pressure/British Petroleum/Baden-Powell
BPI	British Phonographic Industry
BPS	Bits Per Second
BPSA	Baden-Powell Scout Association
BRAD	British Rate And Data
BRB	Be Right Back
BRI	Basic Rate Interface
BRIZE	Be Ready In Zealous Anticipation
BRS	Big Red Switch
BS	BullShit/Bachelor Surgery
BSA	Birmingham Small Arms/Bloody Stupid Acronym/Bill Shankly Applies
BSC	Bachelor of Science
BSF	But Seriously, Folks
BSL	Beaver Scout Leader
BSOD	Blue Screen Of Death
BSSS	Because She Said So
BST	British Summer Time/But Seriously Though
BSV	Boot Sector Virus
BSWIS	Bruce Says What I Say
BT	British Telecom/Blues and Twos
BTA	But Then Again/But Thanks Anyway/By That Account
BTCC	British Touring Car Championship
BTCV	British Trust for Conservation Volunteers
BTDT	Been There Done That
BTDTBTTS	Been There Done That Bought The T-Shirt
BTDTDTRI	Been There Done That Done The Re-Install
BTDTDWTTS	Been There Done That Don't Wear The T-Shirt
BTDTGTTS	Been There Done That Got The T-Shirt
BTDTKWYM	Been There Done That Know What You Mean
BTDTSTVBTTS	Been There Done That Seen The Video Bought The T Shirt
BTDTSTVGTTS	Been There Done That Seen The Video Got The T Shirt
BTGTTS	Been There, Got The T Shirt
BTH	Burn The Heretic
BTHS	Burn The Heretic Scum 
BTHTDTMHTTATTS	Been There, Had That Done To Me, Had To Throw Away The Tee-Shirt
BTL	Buy To Let
BTO	BT Openworld/Openwound/British Trust for Ornithology
BTOW	BT Open World/Wound 
BTSOOM	Beats The Stuffing Out Of Me
BTVN	By The Very Nature
BTW	By The Way
BTWMIDTR	But That Would Make It Difficult To Read
BTYG	But There You Go
BUPA	British United Provident Association
BURMA	Be Undressed Ready My Angel
BURP	Be Undressed Ready Pet
BUTGC	Banned Under The Geneva Convention
BV	Boozy Vicars
BVM	Blessed Virgin Manda 
BWB	British Waterways Board
BWK	Brian W. Kernighan (co-author of Awk & the C book)
BWSF	British Water Ski Federation
BWTF	But What The F**k
BWTHDIK	But What The Heck Do I Know
BWTMIDTR	But Would That Make It Difficult To Read?
BYCB	But You Can't Be/Bruce
BYJD	But You Just Did
BYKT	But You Knew That
BYKTA	But You Knew That Already
BYKWIM	But You Know What I Mean
BYMMV	But Your Mileage May Vary
BYO	Buy/Bring Your Own
BYOB	Bring Your Own Booze
BYP	Beg Your Pardon
BYU	Bob's Your Uncle
CA	Constant Acquisitions/Conference Archivist/California/Colony Assistant/Court of Appeal/County Commissioner
CAB	Cymru Am Byth!(Wales for ever/Citizens Advice Bureau
CAD	Computer Aided Design/Ctrl-Alt-Delete
CADS	Can A Duck Swim?
CAL	Computer Assisted Learning
CAM	Conditional Access Module
CAMRA	CAMpaign for Real Ale
CANE	Conference Agony Niece Extraordinaire
CANX	Cancelled
CAPSTAN	Can A Prick Stand Twice A Night
CARP	CAmpaign for Real Pedantry
CAS	Column Address Strobe
CASBA	Clean Air Smoke Break Agreement
CASE	Computer Aided Software Engineering
CAT	Computer Assisted Learning/Something my dog likes chasing/Computerised Axial Tomography
CAV	Constant Angular Velocity
CB	Citizen’s Band radio
CBA	Can't Be Arsed
CBDTPA	Consumer Broadband and Digital TV Promotion Act
CBGYBMABILYAEFAM	Cor Blimey Guvn'r You're Breakin' Me Arm But I'll Let You 'Ave 'Em For A Monkey
CBL	Computer Based Learning
CBMS	Central Bank Money Stock
CBS	Cix Barbie Survivor
CBT	Computer Based Training/Cognitive Behavioural Therapy
CC	Closed Conference/Conference Curmudgeon/County Court /Conference Chaplain
CCC	Clever Chaps Club/Closed Confidential Conference
CCCP	CIX Conferencing Complaint Process
CCDL	Clean Current Driving Licence
CCIR	International Radiotelephony Consultative Committee
CCITT	Consultative Committee for International Telephony & Telegraphy
CCNA	Cisco Certified Network Associate/ Certification of Nurse Anaesthetists
CCO	CIX Conferencing Only (account)
CCTV	Closed Circuit TeleVision
CCUG	Church Computers User Group
CCY	Can’t Can You
CD	Compact Disc
CDA	Communications Decency Act (a 1996 US legal amendment criminalising indecent language on the internet)
CDDA	Compact Disc Digital Audio
CDDI	Copper Distributed Data Interchange
CDDMWUR	Conference Decolyte and Director of Music To cix:WUR
CDMA	Code Division Multiple Access
CDO	Collaboration Data Objects 
CDONTS	Collaboration Data Objects for NT Server
CDROM	Compact Disc Read Only Memory/Consumer Device Rendered Obsolete In Months
CDTTB	Come Down To The Basement
CE	Conference Exists/Common Era/Covers Ears
CECB	Cewch E-clec Bonws
CEDR	Centre for Effective Dispute Resolution
CEG	Cewch e-groat (have an e-groat = HAEG)
CEGH	Cewch e-groat hwn (have this e-groat = HTEG)
CEGY	Cewch e-groat ychwanegol (have a bonus e-groat = HABEG)
CEO	Chief Executive Officer
CESB	Cewch E-Swllt Bonws
CESFC	Currently Ex-Stock From Components maker
CESFD	Claims of Ex-Stock Fictitious Deceitful/Currently Ex-Stock From Distributor
CESFI	Currently Ex-Stock From Inventor
CESFM	Currently Ex-Stock From Manufacturer
CESFN	Currently Ex-Stock From Nowhere
CESFS	Chance of Ex-Stock Fairly Slim
CESFS	Currently Ex-Stock From Supplier
CESFV	Chance of Ex-Stock Frankly Vapourware/Currently Ex-Stock From Vendor
CESY	Cewch e-swllt ychwanegol = have a bonus e-shilling = HABES
CF	Compact Flash/Conference Fool
CFC	ChloroFluoroCarbon
CFDD	Christmas Falling Down Do
CFPT	Cix Fish Pun Thread
CFS	Chronic Fatigue Syndrome 
CG	Conference Grammarian
CGA	Colour Graphics Adapter
CGI	Common Gateway Interface
CGMS	Copy Generation Management System
CGT	Capital Gains Tax
CH	Colony Helper/Conference Heresiarch/Conference Hound
CHN	Community of the Holy Name
CHWOTBAKOTG	Conference Hound, Watchdog Of The Boastery And Keeper Of The Gatepost
CI$	CompuServe/CompuSpend
CIA	Central Intelligence Agency/Curse of the Inscrutable Acronyms
CIATA	Can I Ask The Audience
CIAWT	Cix Is A Wonderful Thing
CIDCWIISALAIGIWINI	Currently I Don't Care Where It Is Stock As Long As I Get It When I Need It
CIDKJGMTM	Currently I Don't Know, Just Give Me The Money
CIFAF	Can I Fone A Friend
CIGFF	Can I Go Fifty-Fifty
CIHAEG	Can I Have An E-Groat
CIHAEGP	Can I Have An E-Groat Please
CIHBM2	Could I Have BinMail Too
CIHBM2P	Could I Have BinMail Too Please
CIHBMTP	Can I Have BinMail Too Please
CIHM2	Could I Have Mail Too
CIHM2P	Could I Have Mail Too Please
CIHMT	Could I Have Mail Too
CIHMTP	Could I Have Mail Too Please
CIM	Compuserve Information Manager
CIPAF	Can I Phone A Friend
CIR	Committed Information Rate
CIS	CompuServe/CompuSpend/Currently In Stock/Continuous Inking System/Co-operative Insurance Society
CISAD	Currently In Stock At Distributor
CISAS	Currently In Stock At Supplier
CISAV	Currently In Stock At Vendor
CISC	Complex Instruction Set Computer/Chip
CIT	Contradiction In Terms
CITA	Case Is Towed Away
CITAAC	Case Is Towed Away And Crushed
CITAAO	Case Is Towed Away And Opened
CITAATO	Case Is Towed Away And Then Opened
CITAORTC	Case Is Towed Away Opened, Raided and Then Crushed
CITAOTC	Case Is Towed Away Opened, Then Crushed
CITO	Case Is Thrown Out
CIX	Compulink Information eXchange
CIXIP	Compulink Information eXchange Internet Provision
CIXOL	Cix Online
CLI	Command Line Interface/Called Line Identification
CLIP	Calling Line Identity Presentation 
CLIT	Centrally Located Input Tool
CLV	C'est La Vie/Constant Linear Velocity
CMA	Computer Marked Assignment/Computer Misuse Act/Country Music Awards
CMCA	Confusing May Cause Anxiety
CMDM	County Media Development Manager
CME	Core Managed Environment
CMIIW	Correct Me If I'm Wrong
CML	Computer Managed Learning
CMO	Cash/Money Order
CMOS	Complementary Metal Oxide Semiconductor
CMOT	Cut Me Own Throat
CMOTD	Cut Me Own Throat Dibbler
CMS	Content Management System
CMT	Contingent Management Team
CMTS	Cable Modem Termination Shelf/System
CNE	Certified Novell Engineer
CNN	Cable News Network
CNO	Carbon-Nitrogen-Oxygen
CNP	Cardholder Not Present
CO	COmpany/Care Of/Colorado
COA	Certificate Of Authenticity
COBOL	Completely Obsolete Business Oriented Language
COBUILD	Collins Birmingham University International Language Database
CoC	Committee of the Council
COD	Cash On Delivery/Concise Oxford Dictionary
COG	Centre Of Gravity
COHYACUANGAA	Congratulations On Having Yet Another Completely Unusable And Non-General Acronym Accepted...
COIDS	Cix Oracle In Denial Syndrome (a pathological inability of some people to simply say, "Dunno, guv, that's a weirdie)
COK	Coffee On Keyboard
COLP	Connected Line Presentation
COLT	City Of London Telecommunications
COM	Communication Port i.e. COMMS 1/Component Object Model
COND	CONDemned
CORBA	Common Object Request Broker Architecture
CORWO	Other Way Round Of Course (The other way round)
COSTWUR	Collector Of the Salt Tax cix:WUR
CoSy	COnferencing SYstem/COllaboration System/COoperative SYnergy
COTAL	Custodian Of The Acronym List/p_elphick@cix aka cotal@cotal.co.uk
COTC	Court Of The Cotal
COTY	Creep Of The Year
COYU	Congratulations On Your Unanimity
CP	Communist Party/Corporal Punishment/Crime Prevention/Capital Punishment
CPAP	Constant Positive Airway Pressure
CPGNWDRTOHC	Chrome Plated Grease Nipples With Double Reverse Twin-OverHead Camshafts
CPGNWDRTOHDH	Chrome Plated Grease Nipples With Double Reverse Twin-OverHead Door Handles
CPGNWDRTOHF	Chrome Plated Grease Nipples With Double Reverse Twin-OverHead Foxtails
CPI	Consumer Price Index
CPP	Calling Party Pays
CPRM	Content Protection for Recordable Media
CPS	Characters Per Second/Crown Prosecution Service
CPSA	Clay Pigeon Shooting Association
CPU	Central Processing Unit
CPW	Car Phone Warehouse
CPWP	Can't Pay, Won't Pay
CRAFT	Can't Remember A Flipping Thing
CRC	Cyclic Redundancy Check
CREN	Corporation for Research and Education
CRIMM	Continuity Rambus Inline Memory Module
CRLF	Carriage Return Line Feed
CRO	Cathode Ray Oscilloscope
CROW	Countryside and Rights of Way Act 2000
CRS	Compagnie Eépublicaine de Sécurité
CRT	Cathode Ray Tube
CRUMBS	Conference (Really Unbelievably Most Beneficial) Snack for cix:wur
CS	Computer Science
CSA	Context Sensitive Acronym/Child Support Agency
CSD	Corrective Service Disk/Circuit-Switched Data/Catastrophic Self Disassembly
CSDC	Contextualised Self-Defining Colloquialism
CSL	Cub Scout Leader
CSLIP	Corrective Serial Line Interface Protocol
CSM	Customer Service Manager
CSNA	County Scout Network Administrator (Also CSNetA)
CSNC	County Scout Network Commissioner (Also CSNetC)
CSNL	County Scout Network Leader (Also CSNetL)
CSOS	Composite Signals Organisation Station
CSR	Cab Secure Radio
CSS	Cascading Style Sheet/Content Scrambling System
CSSD	Central Sterile Services Department
CST	Contingent Support Team
CSWS	Can't Say, Won't Say
CT	Conjuring Trick/Canon Treasurer/	Connecticut
CTF	Cix Toll Free (now extinct)
CTFPT	Cix Travelling Fish Pun Thread
CTM	County Training Manager
CTO	Cut That Out
CTOAGAATM	Can't Think Of A Good Acronym At The Moment
CTS	Carpal Tunnel Syndrome/Clear To Send
CTWB	Conjuring Trick With Bones
CUA	Common User Access/Commonly Used Acronym
CUL	See You Later
CUL8ER	See You Later
CUL8R	See You Later
CUM	CIX User Manual
CURL	Curls Up Really Laughing
CV	Conference Vexillologist
CW	Continuous Wave (Morse Code)
CWU	Communication Workers Union
CYA	Cover Your A** (ASCII ?)
CYL	See You Later
CYO	See You Online
DAC	Digital-to-Analogue Converter
DACS	Digital Access Concentrator System
DAO	Data Access Object
DARFC	Ducks And Runs For Cover
DAYATFO	Do As You Are Told For Once
DAYEG	Diolch Am Yr E-Grot (Thanks for the e-groat)
DB	DeciBel = 10Log (P2/P1)/Dogs’ Bollocks
DBA	DataBase Administrator/Doing Business As
DBAG	Don't Blow A Gasket
DBCM	Deleted By Conference Moderator
DBL	Dros Ben Llestri (Over The Dishes (OTT) (Welsh))
DBP	Ducks Behind Parapet
DBS	Don't Be Silly
DBSITW	Do Bears Sh*t In The Woods
DBSL	District Beaver Scout Leader
DBSM	Deleted By System Manager
DBSSIF	Don't Be So Silly In Future
DBYL	Dros Ben Y Llestri (lit. over the dishes) = OTT
DC	Direct Current/Detective Constable/District of Colombia (Washington, DC)/District Commissioner/Da Capo
DCC	Deputy County Commissioner
DCE	Data Communications Equipment/Distributed Computing Environment
DCMS	Don't Call Me Shirley
DCOL	Doesn't Count On Location
DCOM	Distributed Component Object Model
DCOT	Doesn't Count On Tour
DCSL	District Cub Scout Leader
DCX	Delta Clipper eXperimental
DD	Direct Debit/Doesn't Decode
DDC	Direct Dial Connection
DDCA	Direct Dial Conferencing Account
DDE	Dynamic Data Exchange
DDIA	Don't Do It Again
DDIAOE	Don't Do It Again Or Else
DDR	Double Data Rate/Deutsche Demokratishe Republik (German Democratic Republic)
DDRAM	Double Data-rate Random Access Memory
DDT	DichloroDiphenylTrichloethylene/Didn't/Don’t Do That
DDTB	Don't Disturb The Baby
DDTOE	Don't Do That Or Else
DDTP	Day, Date, Time, Place
DE	Delaware
DEBE	Does Everything But Eat
DEC	Digital Equipment Corporation/Do Expect Cuts
DEK	Donald E. Knuth (author of TeX & The Art Of Computer Programming)
DES	Data Encryption Standard
DESA	District Explorer Scout Administrator
DESC	District Explorer Scout Commissioner
DESL	District Explorer Scout Leader
DETR	Department of Environment, Transport, and the Regions
DFC	Distinguished Flying Cross
DFLA	Disenhanced Four Letter Acronym (that is, a TLA)
DFRH	Differ From Real History
DG	Director General/Data General/Dead Granny
DGAF	Don't Give A F**k
DGAFF	Don't Give A Flying F**k
DGUTDJ	Don't Give Up The Day Job
DHAFC	Don't Have A F***king Clue
DHCP	Dynamic Host Configuration Protocol
DHS	Die, Heretic Scum!
DHTML	Dynamic HyperText Markup Language
DHYB	Don't Hold Your Breath
DI	Detective Inspector
DICOAPWLA	Drunk In Charge Of A Poor Wee Lad Again?
DIIK	Damned If I Know
DIKU	Do I Know You
DIL	Days In Lieu
DILLIGAFF	Do I Look Like I Give A Flying Filament
DIMM	Dual In-line Memory Module
DIOLCH	Thanks(Welsh)
DIP	Dual In-line Package
DIRA	Disclaimer In Resume Applies
DITYID	Did I Tell You I'm Distressed
DIWWNW4	Does It Work With NetWare 4?
DIY	Do It Yourself
DJ	Disc Jockey/Dinner Jacket/Diploma in Journalism/District Judge/Divorce Judge/Doctor Juris (Doctor of Laws)/Dow Jones/Dust Jacket
DKUATB	Do Keep Up At The Back
DKWYM	Don't Know What You Mean
DLAC	Driving Like A C***
DLG	Devilish Little Grin
DLIGTYH	Don't Let It Go To Your Head
DLL	Dynamic Link Library
DLT	Digital Linear Tape
DLTBGYD	Don't Let The Buggers Grind You Down
DM	Doesn't Matter/Dungeon Master
DMA	Direct Memory Access
DMCA	Digital Millennium Copyright Act (US legislation banning circumvention of copy prevention mechanisms)
DMDM	District Media Development Manager
DMI	Don't Mention It
DMIBDDIA	Don't Mention It But Don't Do It Again
DMIBDDIAOYVGTJFAVVVLT	Don't Mention It But Don't Do It Again Or You Will Go To Jail For A Very Very Very Long Time 
DMIID	Don't Mind If I Do
DMR	Dennis M. Ritchie (C creator, Unix co-creator)
DMS	Dead Man's Switch
DMTW	Don't Mention The War
DMW	Dead Man Walking
DMZ	DeMilitarized Zone
DNA	DeoxyriboNucleic Acid/Douglas Noel Adams (late Cixen, author of HHGTTG)/Donkey Not Ass
DNAA	District Nights Away Advisor
DNC	Definitely No Comment
DNE	Does Not Exist
DNPM	Damn Near P***ed Myself
DNQ	Do Not Quote
DNR	Domain Name Registration
DNRWWA	Domain Name Registration With Web Aliasing
DNS	Domain Name System/Server
DNSO	Domain Name Supporting Organisation of ICANN
DNT	Did Not Too
DOA	Dead On Arrival
DOB	Date Of Birth/Daft Old Bat/Bastard/Bitch
DOD	Department Of Defence
DOE	Department Of Energy
DOE	Duke Of Edinburgh
DOEG	Dispenser Of E-Groats
DOM	Dirty Old Man
DOS	Dozy Old Sod/Disk Operating System/Defective Operating System/Denial Of Service
DOT	Department Of Transportation
DPA	Data Protection Act/Dover Port Authority
DPR	Data Protection Registrar
DPS	Double Page Spread
